  1          15.00    11.00   286            Type2Diabetic
  2          19.25    11.00   280            Type2Diabetic
  3           6.79    5.00    249            IGT
  4           6.00    5.51    250            Normal
  5           5.75    6.90    253            IGT
  6          13.50    9.50    440            Type2Diabetic
  7           6.90    10.00   239            Type2Diabetic
  8           5.89    7.10    260            IGT
  9           5.75    5.00    219            Normal
 10           7.20    5.75    247            Type2Diabetic
 11           6.60    6.00    270            IGT
 12           6.10    5.30    220            Normal
 13          16.60    12.00   475            Type2Diabetic
 14          13.00    15.00   245            Type2Diabetic
 15           6.00    4.90    258            IGT
 16           5.76    7.50    205            Normal
 17           6.00    6.90    240            IGT
 18           5.87    10.00   180            IGT
 19           6.02    5.43    232            Normal
 20           5.50    5.59    242            IGT
 21           5.08    5.08    209            Normal
 22           7.50    8.00    220            Type2Diabetic
 23           8.00    5.20    270            Type2Diabetic
 24           6.35    4.78    259            IGT
 25           6.60    7.20    241            IGT
 26           5.51    12.00   250            Type2Diabetic
 27           5.85    4.99    250            Normal
 28           6.12    5.01    200            Normal
 29           7.12    5.70    231            IGT
 30           6.20    4.95    235            Normal
 31           7.00    4.10    227            Normal
 32           8.00    6.00    240            Type2Diabetic
 33           6.40    5.79    245            IGT
 34          18.00    7.00    500            Type2Diabetic
 35           6.47    5.80    225            IGT
 36          12.00    4.30    225            Normal
 37           5.45    3.90    237            Normal
 38           7.50    6.40    277            IGT
 39           5.10    6.60    234            Normal
 40           6.12    4.70    229            Normal
 41           7.00    3.80    241            IGT
 42           4.30    5.00    184            Normal
 43           7.90    4.70    333            Type2Diabetic
 44          10.00    5.90    219            IGT
 45           5.99    6.20    280            Normal
 46           6.20    4.00    280            IGT
 47          10.20    10.00   300            Type2Diabetic
 48           6.10    5.50    237            IGT
 49          21.00    15.50   595            Type2Diabetic
 50           9.00    13.00   295            Type2Diabetic
 51          17.00    9.50    550            Type2Diabetic
 52           8.20    7.00    290            Type2Diabetic
 53           6.92    6.50    270            IGT
 54           5.08    5.27    233            Normal
 55           6.77    8.00    264            IGT
 56          20.00    14.00   590            Type2Diabetic
 57           5.95    6.90    210            IGT
 58          11.66    9.00    360            Type2Diabetic
 59           5.30    8.00    212            Normal
 60           4.95    9.00    300            Normal
 61           6.63    10.00   244            IGT
 62          10.00    8.00    325            Type2Diabetic
 63          18.00    15.00   280            Type2Diabetic
 64          21.50    8.00    483            Type2Diabetic
 65           7.20    5.80    290            IGT
 66           5.88    8.30    290            Normal
 67           6.02    8.00    230            IGT
 68           5.70    5.52    248            Normal
 69           8.30    6.80    275            Type2Diabetic
 70           6.15    5.00    240            IGT
 71          14.00    11.00   410            Type2Diabetic
 72           6.09    6.00    229            Normal
 73           5.98    6.55    245            IGT
 74           6.08    5.18    250            Normal
 75           7.00    5.50    295            Type2Diabetic
 76           6.90    7.00    259            IGT
 77          12.20    5.80    250            Type2Diabetic
 78          19.00    9.50    400            Type2Diabetic
 79           5.90    5.98    235            IGT
 80          15.00    4.80    210            Type2Diabetic
 81           6.07    4.20    222            Normal
 82           5.00    4.10    199            Normal
 83           6.27    7.50    248            IGT
 84           6.05    5.20    239            Normal
 85           7.20    5.00    240            Type2Diabetic
 86           5.66    5.90    236            Normal
 87           6.29    6.64    215            IGT
 88          11.00    14.00   325            Type2Diabetic
 89           5.95    5.20    246            Normal
 90           4.90    5.68    241            Normal
 91           7.30    6.01    280            IGT
 92           7.20    12.00   225            Type2Diabetic
 93           6.00    9.00    270            IGT
 94           5.30    6.60    230            Normal
 95           5.80    6.10    212            Normal
 96           5.20    6.00    237            Normal
 97           6.55    5.60    250            IGT
 98           6.75    6.20    235            IGT
 99           7.00    5.50    250            IGT
100           6.50    5.25    249            IGT
-1
